emoji,dominant_label,dominant_count,total_count,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
😭,sadness,43830,97850,14960,8163,7367,4744,43830,5984,2742,10060
🏻,joy,11094,32076,11094,9345,590,818,1672,802,539,7216
🤣,joy,18277,31590,18277,5615,462,913,521,1799,932,3071
😂,joy,13644,23588,13644,4412,383,559,370,1012,638,2570
🙏,joy,4284,13220,4284,3199,663,307,1458,517,224,2568
🫶,joy,4733,13196,4733,4616,35,265,203,32,16,3296
❤,joy,4540,12642,4540,4452,16,246,285,16,22,3065
🥲,sadness,3453,12415,2798,1491,874,421,3453,918,295,2165
🥹,joy,3806,11900,3806,3088,324,614,1289,255,108,2416
🥺,joy,3365,11565,3365,2998,363,300,1853,124,80,2482
🥰,joy,3938,10389,3938,3786,14,191,51,39,24,2346
👍,joy,3969,9975,3969,3178,108,190,301,200,119,1910
✨,joy,3199,9315,3199,2998,16,355,72,21,24,2630
🤍,joy,2830,8060,2830,2758,28,96,159,8,13,2168
😔,sadness,4521,7543,604,471,657,95,4521,348,156,691
💗,joy,2666,7511,2666,2607,73,97,175,5,13,1875
😁,joy,3593,7425,3593,2386,59,78,52,152,112,993
😍,joy,2572,6707,2572,2421,6,260,17,35,18,1378
😅,joy,3077,5953,3077,999,199,156,207,345,186,784
🤭,joy,2526,5796,2526,1448,54,370,114,235,112,937
♀,joy,1625,4799,1625,1316,84,144,160,169,129,1172
💪,joy,1672,4798,1672,1580,21,43,76,16,15,1375
😆,joy,2261,4624,2261,1371,23,84,45,66,47,727
🤤,joy,1803,4555,1803,1407,14,100,34,51,13,1133
😊,joy,1940,4449,1940,1516,21,35,46,54,33,804
💖,joy,1591,4426,1591,1577,5,70,91,1,2,1089
🤗,joy,1692,4418,1692,1540,14,57,67,19,16,1013
😋,joy,1778,4359,1778,1570,15,52,21,32,20,871
🙂,joy,1704,3889,1704,750,108,87,340,219,123,558
☺,joy,1651,3864,1651,1280,35,61,94,67,44,632
🤩,joy,1202,3839,1202,1143,4,668,10,1,3,808
😘,joy,1434,3759,1434,1351,8,41,37,8,15,865
🏼,joy,1266,3630,1266,1056,70,80,240,128,95,695
😌,joy,1511,3535,1511,916,81,56,202,140,77,552
☝,joy,1008,3360,1008,996,71,57,326,193,114,595
🫠,joy,1000,3360,1000,506,206,151,420,287,83,707
💜,joy,1187,3356,1187,1164,5,56,65,11,5,863
😀,joy,1584,3231,1584,815,68,73,82,151,90,368
😩,sadness,1235,3154,459,218,262,84,1235,287,143,466
🔥,joy,1016,3121,1016,871,20,162,29,51,65,907
💚,joy,992,2999,992,863,59,58,257,50,24,696
💐,joy,1015,2938,1015,1008,0,33,6,0,1,875
✅,trust,920,2899,907,920,44,49,102,98,70,709
🙌,joy,880,2497,880,832,10,42,21,7,2,703
💕,joy,907,2466,907,884,7,35,113,7,6,507
🙃,joy,792,2409,792,348,152,75,270,245,108,419
🌷,joy,827,2397,827,820,0,22,12,0,1,715
😢,sadness,1413,2370,184,174,211,32,1413,103,59,194
😉,joy,857,2258,857,780,6,18,10,13,10,564
😄,joy,1109,2240,1109,691,21,25,14,61,28,291
😃,joy,982,2141,982,579,25,44,68,80,38,325
🙆,joy,766,2132,766,738,3,7,12,0,1,605
😇,joy,802,2006,802,590,32,38,54,55,34,401
💙,joy,704,2006,704,665,30,33,92,24,6,452
🤔,anticipation,583,1926,539,323,64,132,77,141,67,583
😻,joy,719,1913,719,689,2,27,11,6,3,456
😎,joy,703,1737,703,576,6,33,20,38,30,331
🥳,joy,616,1726,616,585,6,74,10,7,4,424
💓,trust,619,1696,615,619,1,22,7,2,0,430
🫂,joy,596,1679,596,566,17,20,78,6,4,392
💔,sadness,926,1655,143,105,128,35,926,103,72,143
‼,joy,504,1640,504,472,8,120,47,13,33,443
🌻,joy,558,1633,558,552,0,11,2,0,1,509
😞,sadness,1048,1612,98,103,122,10,1048,82,41,108
😡,anger,803,1579,146,92,34,24,84,249,803,147
🫰,joy,575,1575,575,535,4,47,22,13,9,370
😫,sadness,496,1550,206,116,157,70,496,184,77,244
🥛,joy,526,1507,526,519,1,16,3,0,1,441
☹,sadness,613,1481,218,200,77,14,613,100,87,172
🤲,joy,482,1480,482,422,36,18,115,24,16,367
😵,disgust,298,1460,281,120,165,128,209,298,35,224
😤,anger,569,1401,214,138,34,27,49,190,569,180
🤧,sadness,361,1392,302,177,98,34,361,127,44,249
🥤,joy,483,1366,483,475,0,10,0,2,0,396
💞,joy,480,1341,480,475,1,9,8,2,2,364
✊,trust,439,1336,401,439,20,14,97,46,34,285
🩷,joy,451,1320,451,449,3,9,6,0,3,399
💫,joy,280,1279,280,144,125,95,159,234,30,212
🍽,joy,448,1260,448,421,2,10,0,0,0,379
👋,joy,468,1252,468,436,0,10,14,4,7,313
💨,surprise,416,1238,221,128,52,416,112,85,52,172
✌,joy,482,1206,482,375,20,22,28,34,21,224
👌,joy,468,1173,468,404,6,23,18,10,12,232
😚,joy,474,1172,474,413,2,22,12,3,2,244
🤪,joy,575,1159,575,234,10,40,13,62,54,171
😮,surprise,460,1139,177,84,47,460,111,79,52,129
😣,sadness,312,1138,182,164,90,14,312,125,48,203
😠,anger,561,1119,165,103,24,11,35,115,561,105
👎,disgust,269,1113,168,110,36,17,206,269,200,107
♥,joy,400,1107,400,387,2,16,14,1,0,287
🤮,disgust,638,1043,70,7,39,21,39,638,211,18
🏳,trust,447,1039,225,447,22,4,46,85,51,159
😼,joy,391,1004,391,322,3,23,5,1,7,252
💛,joy,350,998,350,340,1,29,13,1,3,261
🫵,joy,325,990,325,222,7,62,69,42,67,196
🏴,trust,436,980,213,436,17,5,29,81,51,148
💀,disgust,240,977,191,32,103,89,98,240,74,150
🎉,joy,339,966,339,309,6,59,2,1,12,238
💌,joy,342,961,342,323,0,21,3,1,1,270
🌟,trust,321,934,309,321,2,20,6,1,2,273
🐈,joy,284,906,284,210,55,61,116,25,11,144
😱,surprise,293,887,124,51,189,293,34,63,14,119
🏽,joy,305,885,305,252,26,14,51,25,18,194
👊,joy,256,875,256,187,22,25,99,55,67,164
♂,joy,282,870,282,175,25,32,46,73,75,162
🫣,joy,290,862,290,168,35,98,22,50,12,187
😾,joy,272,851,272,218,10,22,27,37,50,215
👉,joy,272,841,272,228,19,44,33,17,14,214
