text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
0:59 & 1:10 Adegan jatuhnya kok berasa Creepy banget sih!! 🥶😱 1:45 Intonasinya kok berasa dengerin nasehat rohani dari guru Spiritual gitu ya?! 🤔,0,0,1,1,0,1,0,0
19jt pekerjaan wey. Masih jelas di ingatan. Org ini sok debat wapres. Dia saja di bantu bapaknya. Ada aja yg percaya. 😂,0,0,0,0,0,0,1,0
90% komennya negatif.. pertanyaannya kok bisa menang 58%😂,1,0,0,0,0,0,0,0
"90% komentarnya negatif,ini bukti bahwa orang2 sakit hati suka reseh di medsos 😂",0,0,0,0,0,1,0,0
@ @USER seenggaknya tahu klo admin cgv orangnya berani respon. Ditunggu Trailer Movie anime lainnya🤣,1,1,0,0,0,0,0,1
@ @USER tau deng kak😅,1,0,0,0,0,0,0,0
@ @USER semoga kakak bisa bahagia dengan anak kakak☺❤,1,1,0,0,0,0,0,0
@ @USER Hidup Jokowi ✊,1,0,0,0,0,0,0,0
@USER 😆😆😆 senang ketemu band kesukaankuuu,1,1,0,0,0,0,0,0
@USER Ihhhhh cihwaaaaa anak lucuuu mama eshaa ditunggu gebrakan fashion nya biar sama kayak bapaknya 😍,1,1,0,0,0,0,0,1
"@USER Judges, NawazSharif Chor Fitna Sazishi fasadi, MaryamSafdarMunir Lootmar kerne wali Generals ki Rani, AsimMunir poodle 🐩 aur DGISPR WAGHERA sub aik Page per hain 💰 Munafiq Mulkdushman intashari Tola Mafia 😡✡️🐷👅💰",0,0,0,0,0,1,1,0
@USER LUCU BGT😋😍😍,1,0,0,0,0,0,0,0
@USER u coba aja layout plan. kaga usah ngedit begini begitu. cukup header warna polosan trus ava nya u kasih filter sedikit. ORANG MAGERAN BERANI-BERANINYA MAU OPEN LAYOUT 😡,0,0,0,0,0,0,1,0
"@USER Arset tuh emang harus di pancing dulu yaa baru bisa cerita, salut banget sih sama kenya bisa ngadepin nya dngn sabar banget lagii, so proud banget buat kenyaa lovv🥰 and makasih juga buat kak author udh mau update arset yaa😍",1,1,0,1,0,0,0,1
"ANAK MUDA TAMPIL GARIS DEPAN MBAHMU 😅😂 TU LIAT.. AKIBAT JUDI ONLINE RAKYATMU PADA BNYK YG MATI SIA SIA. PINJOL 😂😂 APA YG SEJAHTERA BOS ? DIBERANTAS DLU. KALO BERANI, BARU SPEAK UP MEDIA ! BERANI BERANI, KALO CM NGONTEN DOANG, ANAK TK JUGA BISA !",1,0,0,0,1,1,1,0
Aaku baru tau dia suka party party gt 😢 yaampun moga2 kita dijauhkan sama hal2 burukk❤,0,0,0,0,1,0,0,0
"Ada yg like tuh 43K .. Lumayan, alhamdulillaah ada yg masih kasihan ama editor video nya.. -Rabu, 23 April - Angka dr video ini yg masuk rekening adalah bonus... 🤣 demografi ..",1,0,0,0,0,0,0,0
Aku cinta AI (Animasi Indonesia)🤙🏼,1,1,0,0,0,0,0,0
Aku dengan sabar menunggu video ini sampai habis.... Dan ternyata benar dugaanku... Bukan Guru gembul kalau gak mancing Nalar penonton nya 😂😂😂,1,1,0,1,0,0,0,1
Anak muda KOSONG mu natural sekali 😂😂😂. Tapi bnyk fans nya. Lucu2 masy indonesia. Milih yg model begini 😢,1,0,0,0,0,0,0,0
"Aneh bet kayak di film2 aja, udah berapa kali kejadian (dengar, nyamperin, teriak) masih aja penasaran2 ngecek ini itu 🤦🏼‍♀️",0,0,0,0,0,0,0,1
"Aura bodoh nya terpancar nyata, 😂😂😂",1,0,0,0,0,0,0,0
"Awal2 berasa cocoklogi seh. Tp kmudian ada yg bnr2 aneh , yaitu gudang desa ada AKnya😅",0,0,0,1,0,0,0,0
Ayo mas. Bikin video baru lagi. Ga sabar mau dislike lagi.😊,1,0,0,0,0,0,0,1
BERANTAS JUDI ONLINE BERANI KAGAK 😂😂😂😂😂 MLEMPEM BOS !,1,0,0,0,0,0,0,0
Baca komentar nya sangat menghibur 😂,1,0,0,0,0,0,0,0
"Bagus banget, saya sangat terhibur setelah membaca kolom komentar video ini. 😂",1,1,0,0,0,0,0,0
Bakal dikenang sebagai wapres terkonyol yg pernah menjabat sepanjang sejarah RI😢,0,0,0,0,1,0,0,0
"Bang coba putar lagu enau yg judulnya negara lucu,, ada disini realita liriknya itu🤣🤣🤣",1,0,0,0,0,0,0,0
Bang ko lu bisa jadi wapres sih aneh anjirrrrr. Penduduk indonesiakan ada hampir 300jt jiwa. Kok bisa gitu. Maaf ya bang nanya doang ini mah 🙏,0,0,0,1,0,0,0,0
"Bangga sekali aku menjadi rakyat NKRI yang punya Mas Wapres yg sangat cerdas, bahasanya terstruktur, pola kalimatnya rapi yg dikemas dengan bahasa yang sederhana dan mudah dipahami.. Dan yang terpenting, tidak membaca teks. 🤣🤣🤣",1,1,0,0,0,0,0,1
Baru kali ini liat video langsung pause liat komentar gamau dengerin dan liat apa isi kontennya 🤣,1,0,0,0,0,0,0,0
"Bentar Nad, aku mau buang sampah dlu, baru dengerin cerita mu. Haha krn horor nya sampai di hingkong 😅😅😅😅",1,0,0,0,0,0,0,1
Berani bngtsi sisela 😭,0,0,0,0,1,0,0,0
"Berani taruhan,aslinya dia sendiri GK ngerti dengan apa yg dia ucapkan😂😂😂😂😂,otak kagak ada malu juga kagak ada hadeeeehhhhhhh mundur aja tong,malu jadi bahan lelucon se-Indonesia 😂😂😂",1,0,0,0,0,0,0,0
Biarpun gak punya kemampuan yg cukup tapi berkat bapak jadi terlihat tambah bodoh 😂😂😂,1,0,0,0,0,0,0,0
Bocah haram konstitusi dengan kekuatan mengobok oboknya mk bersama paman lagi memberi nasihat dah jangan dengerin dia aja ga bener😅,0,0,0,0,0,0,1,0
