seedword,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
akrab,0,0,0,0,0,0,0,1
amal,0,0,0,0,1,0,0,0
aneh,0,0,1,0,0,0,0,0
angkuh,1,0,0,0,0,0,0,0
apatis,0,0,0,0,0,1,0,0
bahagia,0,0,0,0,1,0,0,0
belas kasihan,0,0,0,1,0,0,0,0
berani,0,0,0,1,0,0,0,0
berduka,0,0,0,0,0,1,0,0
berpesta,0,0,0,0,1,0,0,0
bersemangat,0,0,0,0,1,0,0,0
bersimpati,0,0,0,0,0,1,0,0
bersuka ria,0,0,0,0,1,0,0,0
bersukacita,0,0,0,0,1,0,0,0
bersyukur,0,0,0,0,1,0,0,0
bertobat,0,0,0,1,0,0,0,0
bodoh,0,0,1,0,0,0,0,0
buruk,0,0,1,0,0,0,0,0
cemberut,0,0,0,0,0,1,0,0
cinta,0,0,0,0,1,0,0,0
dengki,1,0,0,0,0,0,0,0
depresif,0,0,0,0,0,1,0,0
direndahkan,0,0,0,0,0,1,0,0
disambut,0,0,0,0,1,0,0,0
disesalkan,0,0,0,0,0,1,0,0
duka,0,0,0,0,0,1,0,0
ejekan,0,0,1,0,0,0,0,0
enggan,1,0,0,0,0,0,0,0
frustrasi,1,0,0,0,0,0,0,0
gelisah,1,0,0,0,0,0,0,0
gemetaran,0,0,0,1,0,0,0,0
hiburan,0,0,0,0,1,0,0,0
hinaan,1,0,0,0,0,0,0,0
hormat,0,0,0,0,0,0,0,1
indah,0,0,0,0,1,0,0,0
integritas,0,0,0,0,0,0,0,1
intuisi,0,0,0,0,0,0,0,1
isolasi,0,0,0,0,0,1,0,0
kasihan,0,0,0,0,0,1,0,0
kebahagiaan,0,0,0,0,1,0,0,0
kebanggaan,0,0,0,0,1,0,0,0
kebosanan,0,0,0,0,0,1,0,0
kecurigaan,0,0,0,1,0,0,0,0
kedukaan,0,0,0,0,0,1,0,0
kegelisahan,1,0,0,0,0,0,0,0
kegugupan,0,0,0,1,0,0,0,0
kejahatan,0,0,1,0,0,0,0,0
kejujuran,0,0,0,0,0,0,0,1
kemarahan,1,0,0,0,0,0,0,0
kerendahan hati,0,0,0,0,0,0,0,1
keriangan,0,0,0,0,1,0,0,0
kesedihan,0,0,0,0,0,1,0,0
kesetiaan,0,0,0,0,0,0,0,1
kesukaan,0,0,0,0,1,0,0,0
kesuraman,0,0,0,0,0,1,0,0
ketakutan,0,0,0,1,0,0,0,0
keterusterangan,0,0,0,0,0,0,0,1
ketidakamanan,0,0,0,1,0,0,0,0
ketidakbahagiaan,0,0,0,0,0,1,0,0
ketidakjujuran,0,0,1,0,0,0,0,0
ketidaksenangan,0,0,1,0,0,0,0,0
ketidaksetujuan,0,0,0,0,0,1,0,0
ketidaksukaan,0,0,1,0,0,0,0,0
konyol,0,0,0,0,1,0,0,0
layak,0,0,0,0,0,0,0,1
lucu,0,0,0,0,1,0,0,0
mabuk,0,0,1,0,0,0,0,0
malapetaka,0,0,0,0,0,1,0,0
martabat,0,0,0,0,0,0,0,1
melankoli,0,0,0,0,0,1,0,0
melankolis,0,0,0,0,0,1,0,0
membela,1,0,0,0,0,0,0,0
memenuhi,0,0,0,0,1,0,0,0
mempermalukan,0,0,0,0,0,1,0,0
menang,0,0,0,0,1,0,0,0
menangis,0,0,0,0,0,1,0,0
mengagumi,0,0,0,0,0,0,0,1
mengamuk,1,0,0,0,0,0,0,0
mengejutkan,0,0,0,0,0,0,1,0
menggelikan,0,0,1,0,0,0,0,0
menggeram,1,0,0,0,0,0,0,0
menghantui,0,0,0,1,0,0,0,0
menghibur,0,0,0,0,1,0,0,0
mengidam,0,1,0,0,0,0,0,0
mengigau,0,0,0,0,0,1,0,0
mengintimidasi,0,0,0,1,0,0,0,0
mengutuk,1,0,0,0,0,0,0,0
menyenangkan,0,0,0,0,0,0,0,1
menyiksa,0,0,0,1,0,0,0,0
meratap,0,0,0,0,0,1,0,0
mudah tersinggung,1,0,0,0,0,0,0,0
muram,0,0,0,0,0,1,0,0
nafsu,0,1,0,0,0,0,0,0
ngeri,0,0,0,1,0,0,0,0
optimis,0,0,0,0,0,0,0,1
pasrah,0,0,0,0,0,1,0,0
patah semangat,0,0,0,0,0,1,0,0
pemaaf,0,0,0,0,0,0,0,1
pemberani,0,0,0,1,0,0,0,0
pemuliaan,0,0,0,0,1,0,0,0
pendendam,1,0,0,0,0,0,0,0
penyesalan,0,0,0,0,0,1,0,0
perang,0,0,0,1,0,0,0,0
percaya,0,0,0,0,0,0,0,1
perkabungan,0,0,0,0,0,1,0,0
religius,0,0,0,0,0,0,0,1
rendah,0,0,0,0,0,1,0,0
rindu rumah,0,0,0,0,0,1,0,0
sabar,0,1,0,0,0,0,0,0
sakit hati,0,0,0,0,0,1,0,0
sederhana,0,0,0,0,0,0,0,1
serakah,0,0,1,0,0,0,0,0
sesat,0,0,1,0,0,0,0,0
setia,0,0,0,0,0,0,0,1
sifat lekas marah,1,0,0,0,0,0,0,0
sikap apatis,0,0,0,0,0,1,0,0
simpati,0,0,0,0,0,1,0,0
takut,0,0,0,1,0,0,0,0
tangisan,0,0,0,0,0,1,0,0
tenang,0,0,0,0,0,0,0,1
terabaikan,0,0,0,0,0,1,0,0
terasing,0,0,0,0,0,1,0,0
terhibur,0,0,0,0,1,0,0,0
terhormat,0,0,0,0,0,0,0,1
terkejut,0,0,0,0,0,0,1,0
termenung,0,0,0,0,0,1,0,0
teror,0,0,0,1,0,0,0,0
terpesona,0,0,0,0,1,0,0,0
tersenyum,0,0,0,0,1,0,0,0
tertekan,0,0,0,1,0,0,0,0
wali,0,0,0,0,0,0,0,1
