abhor: benci  
abhorrent: menjijikkan  
admiration: kekaguman  
admire: mengagumi  
adoration: pemujaan  
adore: memuja  
adversity: kesulitan  
affection: kasih sayang  
afraid: takut  
agitated: gelisah  
agitation: kegelisahan  
agonizing: menyiksa  
agony: penderitaan  
agreeable: menyenangkan  
alarm: waspada  
alarming: mengkhawatirkan  
alienated: terasing  
alienation: keterasingan  
amuse: menghibur  
amused: terhibur  
amusement: hiburan  
amusing: menghibur  
anger: kemarahan  
angry: marah  
anguish: kesedihan mendalam  
animated: bersemangat  
animosity: permusuhan  
annoy: mengganggu  
annoyance: gangguan  
annoying: mengganggu  
anxiety: kecemasan  
anxious: cemas  
apathetic: apatis  
apathy: sikap apatis  
appalling: mengerikan  
appreciation: penghargaan  
apprehension: ketakutan  
apprehensive: khawatir  
ardent: bergairah  
arrogant: arogan  
ashamed: malu  
astonishment: keterkejutan  
atrocious: kejam  
atrocity: kekejaman  
awe: kagum  
awful: mengerikan  
beautiful: indah  
belittle: meremehkan  
benevolence: kebaikan hati  
bereaved: berduka  
bereavement: kedukaan  
bereft: kehilangan  
berserk: mengamuk  
betray: mengkhianati  
betrayal: pengkhianatan  
bitterly: getir  
bitterness: kepahitan  
bliss: kebahagiaan  
blissful: bahagia  
boredom: kebosanan  
calamity: malapetaka  
carelessness: kecerobohan  
celebrated: termasyhur  
celebrating: merayakan  
celebration: perayaan  
charity: amal  
charmed: terpesona  
cheer: bersorak  
cheerful: ceria  
cheerfulness: keceriaan  
cheering: bersorak  
cherish: menghargai  
complain: mengeluh  
compassion: belas kasihan  
complement: melengkapi  
concerned: khawatir  
condemn: mengutuk  
condemnation: kutukan  
confidence: percaya diri  
confident: yakin  
conflict: konflik  
confused: bingung  
confusion: kebingungan  
contempt: penghinaan  
contemptible: hina  
content: puas  
contentious: suka bertengkar  
courageous: berani  
craving: mengidam  
crazy: gila  
cruel: kejam  
cruelly: dengan kejam  
cruelty: kekejaman  
dare: berani  
darkness: kegelapan  
dashed: pupus  
dastardly: pengecut  
dawn: fajar  
dear: 
dejected: murung  
delight: sukacita  
delighted: gembira  
delightful: menyenangkan  
delirious: mengigau  
delirium: delirium  
delusion: khayalan  
demented: gila  
dementia: demensia  
depressed: depresi  
depressing: menyedihkan  
depression: depresi  
depressive: depresif  
despair: putus asa  
despairing: putus asa  
despise: membenci  
despotism: kelaliman  
detest: membenci  
devastated: hancur  
devotion: pengabdian  
devotional: religius  
devout: taat  
dignity: martabat  
dire: mengerikan  
disagree: tidak setuju  
disagreeing: berselisih  
disappoint: mengecewakan  
disappointed: kecewa  
disappointing: mengecewakan  
disappointment: kekecewaan  
disapproval: ketidaksetujuan  
disapprove: menolak  
disapproved: tidak disetujui  
discontent: ketidakpuasan  
discord: perselisihan  
discourage: mematahkan semangat  
disdain: meremehkan  
disgrace: aib  
disgraced: terhina  
disgraceful: memalukan  
disgruntled: kesal  
disgust: jijik  
disgusting: menjijikkan  
disheartened: patah semangat  
disheartening: mematahkan semangat  
dishonest: tidak jujur  
dishonesty: ketidakjujuran  
dishonor: noda  
disillusionment: kekecewaan  
dislike: tidak suka  
disliked: tidak disukai  
dismal: suram  
dismay: kekhawatiran  
disobedience: pembangkangan  
disobedient: tidak patuh  
displeased: tidak senang  
displeasure: ketidaksenangan  
distaste: ketidaksukaan  
distasteful: tidak menyenangkan  
distraught: sangat sedih  
distress: kesusahan  
distressed: tertekan  
distressing: menyedihkan  
distrust: tidak percaya  
disturbed: terganggu  
dolor: duka  
doubt: keraguan  
dread: ketakutan  
dreadful: mengerikan  
dreary: suram  
eager: bersemangat  
eagerness: kegairahan  
ecstasy: ekstase  
ecstatic: sangat gembira  
elated: gembira  
embarrass: mempermalukan  
embarrassment: rasa malu  
embrace: merangkul  
enchant: memikat  
enchanted: terpesona  
enchanting: memesona  
enjoy: menikmati  
enjoying: menikmati  
enlighten: mencerahkan  
enlightenment: pencerahan  
enmity: permusuhan  
ennui: kebosanan  
enthusiasm: antusiasme  
envy: iri  
esteem: penghargaan  
euphoria: euforia  
evil: jahat  
exacerbation: pemburukan  
exalt: meninggikan  
exaltation: kegembiraan  
exalted: mulia  
exasperation: kekecewaan  
excite: menggairahkan  
excited: bersemangat  
excitement: kegembiraan  
exciting: mendebarkan  
excluded: dikucilkan  
exhilaration: kegirangan  
fain: rela  
fainting: pingsan  
faith: iman  
faithful: setia  
faithless: tidak setia  
familiar: akrab  
familiarity: keakraban  
fancy: menyukai  
fear: takut  
fearful: takut  
fearfully: dengan takut  
fearing: ketakutan  
fearless: pemberani  
feeling: perasaan  
felicity: kebahagiaan  
fervor: semangat  
fondness: kesukaan  
fool: bodoh  
forgiving: pemaaf  
forlorn: terabaikan  
frank: terus terang  
frankness: keterusterangan  
frantic: panik  
frenetic: sibuk  
frenzied: hiruk pikuk  
fret: khawatir  
friend: teman  
friendliness: keramahan  
friendly: ramah  
friendship: persahabatan  
fright: ketakutan  
frighten: menakuti  
frightened: ketakutan  
frightful: menakutkan  
frisky: lincah  
frolic: bersuka ria  
frown: cemberut  
frowning: cemberut  
frustrate: menggagalkan  
frustrated: frustrasi  
frustration: frustrasi  
fulfill: memenuhi  
fulfillment: kepuasan  
fuming: menggeram  
fun: menyenangkan  
furious: marah  
furiously: dengan marah  
fury: amarah  
gaiety: keceriaan  
gay: riang  
gloat: berpuas diri  
gloom: kesuraman  
gloomy: muram  
glorification: pemuliaan  
glorify: memuliakan  
glory: kemuliaan  
glum: murung  
gratify: memuaskan  
gratitude: rasa syukur  
grave: serius  
greed: keserakahan  
greedy: serakah  
grief: kesedihan  
grievance: keluhan  
grieve: berduka  
grievous: menyedihkan  
grim: suram  
grin: menyeringai  
groan: mengerang  
grouchy: pemarah  
grumble: menggerutu  
grumpy: pemarah  
guilt: rasa bersalah  
guilty: bersalah  
happiness: kebahagiaan  
happy: bahagia  
hate: benci  
hateful: penuh kebencian  
hating: membenci  
hatred: kebencian  
haughty: angkuh  
haunt: menghantui  
haunted: dihantui  
heartache: sakit hati  
heartfelt: tulus  
heartless: tak berperasaan  
heavenly: surgawi  
hell: neraka  
hellish: neraka  
hesitation: keraguan  
hideous: buruk rupa  
hilarious: sangat lucu  
hilarity: keriangan  
homesick: rindu rumah  
honest: jujur  
honesty: kejujuran  
hope: harapan  
hopeful: penuh harapan  
hopeless: putus asa  
hopelessness: keputusasaan  
horrible: mengerikan  
horrid: mengerikan  
horrific: mengerikan  
horrified: ngeri  
horrifying: mengerikan  
horror: horor  
