seedword,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
amal,0,0,0,0,1,0,0,0
bahagia,0,0,0,0,1,0,0,0
berpesta,0,0,0,0,1,0,0,0
bersemangat,0,0,0,0,1,0,0,0
bersuka ria,0,0,0,0,1,0,0,0
bersukacita,0,0,0,0,1,0,0,0
bersyukur,0,0,0,0,1,0,0,0
cinta,0,0,0,0,1,0,0,0
disambut,0,0,0,0,1,0,0,0
hiburan,0,0,0,0,1,0,0,0
indah,0,0,0,0,1,0,0,0
kebahagiaan,0,0,0,0,1,0,0,0
kebanggaan,0,0,0,0,1,0,0,0
keriangan,0,0,0,0,1,0,0,0
kesukaan,0,0,0,0,1,0,0,0
konyol,0,0,0,0,1,0,0,0
lucu,0,0,0,0,1,0,0,0
memenuhi,0,0,0,0,1,0,0,0
menang,0,0,0,0,1,0,0,0
menghibur,0,0,0,0,1,0,0,0
pemuliaan,0,0,0,0,1,0,0,0
terhibur,0,0,0,0,1,0,0,0
terpesona,0,0,0,0,1,0,0,0
tersenyum,0,0,0,0,1,0,0,0
