seedword,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
apatis,0,0,0,0,0,1,0,0
berduka,0,0,0,0,0,1,0,0
bersimpati,0,0,0,0,0,1,0,0
cemberut,0,0,0,0,0,1,0,0
depresif,0,0,0,0,0,1,0,0
direndahkan,0,0,0,0,0,1,0,0
disesalkan,0,0,0,0,0,1,0,0
duka,0,0,0,0,0,1,0,0
isolasi,0,0,0,0,0,1,0,0
kasihan,0,0,0,0,0,1,0,0
kebosanan,0,0,0,0,0,1,0,0
kedukaan,0,0,0,0,0,1,0,0
kesedihan,0,0,0,0,0,1,0,0
kesuraman,0,0,0,0,0,1,0,0
ketidakbahagiaan,0,0,0,0,0,1,0,0
ketidaksetujuan,0,0,0,0,0,1,0,0
malapetaka,0,0,0,0,0,1,0,0
melankoli,0,0,0,0,0,1,0,0
melankolis,0,0,0,0,0,1,0,0
mempermalukan,0,0,0,0,0,1,0,0
menangis,0,0,0,0,0,1,0,0
mengigau,0,0,0,0,0,1,0,0
meratap,0,0,0,0,0,1,0,0
muram,0,0,0,0,0,1,0,0
pasrah,0,0,0,0,0,1,0,0
patah semangat,0,0,0,0,0,1,0,0
penyesalan,0,0,0,0,0,1,0,0
perkabungan,0,0,0,0,0,1,0,0
rendah,0,0,0,0,0,1,0,0
rindu rumah,0,0,0,0,0,1,0,0
sakit hati,0,0,0,0,0,1,0,0
sikap apatis,0,0,0,0,0,1,0,0
simpati,0,0,0,0,0,1,0,0
tangisan,0,0,0,0,0,1,0,0
terabaikan,0,0,0,0,0,1,0,0
terasing,0,0,0,0,0,1,0,0
termenung,0,0,0,0,0,1,0,0
