seedword,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
akrab,0,0,0,0,0,0,0,1
hormat,0,0,0,0,0,0,0,1
integritas,0,0,0,0,0,0,0,1
intuisi,0,0,0,0,0,0,0,1
kejujuran,0,0,0,0,0,0,0,1
kerendahan hati,0,0,0,0,0,0,0,1
kesetiaan,0,0,0,0,0,0,0,1
keterusterangan,0,0,0,0,0,0,0,1
layak,0,0,0,0,0,0,0,1
martabat,0,0,0,0,0,0,0,1
mengagumi,0,0,0,0,0,0,0,1
menyenangkan,0,0,0,0,0,0,0,1
optimis,0,0,0,0,0,0,0,1
pemaaf,0,0,0,0,0,0,0,1
percaya,0,0,0,0,0,0,0,1
religius,0,0,0,0,0,0,0,1
sederhana,0,0,0,0,0,0,0,1
setia,0,0,0,0,0,0,0,1
tenang,0,0,0,0,0,0,0,1
terhormat,0,0,0,0,0,0,0,1
wali,0,0,0,0,0,0,0,1
